Time,ax,ay,az
0.164001, 0.421352, -1.11084, 9.34634
0.27002, -0.0383047, -1.6088, 10.1124
0.377014, 0.459656, -4.29012, 13.4449
0.483032, 1.34066, -4.74978, 12.2575
0.590027, 0.229828, -0.114914, 0.421352
0.695984, 0.114914, -0.0383047, 0.306437
0.80304, 0.344742, -0.0383047, 0.383047
0.908997, 10.304, -74.2728, 48.8385
1.01599, 21.374, -3.14098, -0.727789
1.12201, 8.46534, -8.96329, -0.191523
1.22803, 8.84838, -1.91523, -0.65118
1.33502, 7.31619, -5.05622, 5.28605
1.44403, 8.65686, -4.86469, 0.65118
1.55103, 8.61855, -5.01791, 1.30236
1.72699, 8.38873, -4.86469, 1.95354
1.83398, 8.35042, -5.01791, 2.18337
1.94, 8.38873, -4.97961, 2.06845
2.04803, 8.38873, -4.903, 1.91523
2.15399, 8.27381, -4.82639, 2.18337
2.26099, 8.35042, -4.74978, 1.95354
2.367, 8.35042, -4.903, 1.91523
2.474, 8.35042, -4.82639, 2.10676
2.58002, 8.46534, -4.82639, 1.95354
2.68604, 8.38873, -4.86469, 2.03015
2.79303, 8.35042, -4.97961, 2.18337
2.89899, 8.46534, -4.74978, 2.03015
