Time,ax,ay,az
0.174072, -4.86469, 1.07253, 8.23551
0.280029, -5.01791, 1.14914, 7.58433
0.387939, -5.05622, 1.03423, 7.96737
0.493896, -4.9413, 1.11084, 7.96737
0.601074, -5.09452, 1.14914, 8.1972
0.707031, -4.9413, 1.26405, 7.89076
0.813965, -5.13283, 1.34066, 8.08229
0.919922, -5.17113, 1.22575, 8.08229
1.03003, -5.13283, 1.18745, 7.92907
1.13696, -4.9413, 1.30236, 7.96737
1.24292, -5.17113, 1.30236, 8.12059
1.35107, -4.97961, 1.49388, 7.85246
1.45703, -4.97961, 1.34066, 7.81416
1.56494, -4.86469, 1.37897, 8.38873
1.75098, -4.903, 1.30236, 7.92907
1.85791, -4.82639, 1.45558, 8.46534
1.96387, -5.20944, 1.34066, 8.00568
2.07007, -4.86469, 1.41727, 7.85246
2.177, -4.59656, 1.34066, 8.38873
2.28296, -4.86469, 1.49388, 8.27381
2.39087, -4.9413, 1.30236, 8.12059
2.49707, -4.86469, 1.53219, 8.12059
2.604, -4.82639, 1.37897, 8.12059
2.70996, -4.67317, 1.41727, 7.89076
2.81689, -4.82639, 1.37897, 7.77585
2.92285, -4.903, 1.30236, 8.31211
