Time,ax,ay,az
0.176025, -4.78809, 1.6471, 8.08229
0.281982, -4.86469, 1.68541, 7.73755
0.388184, -4.903, 1.57049, 7.46941
0.495117, -4.9413, 1.57049, 7.62263
0.601074, -5.28605, 1.6088, 7.3545
0.708008, -4.78809, 1.6471, 7.73755
0.813965, -5.05622, 1.68541, 8.08229
0.921143, -4.9413, 1.6471, 8.00568
1.0271, -4.97961, 1.6088, 7.58433
1.13501, -5.17113, 1.53219, 7.73755
1.24097, -5.05622, 1.49388, 7.96737
1.34717, -4.86469, 1.57049, 7.66094
1.45703, -5.05622, 1.6088, 8.27381
1.56299, -5.05622, 1.6088, 8.1589
1.67114, -4.86469, 1.6088, 7.92907
1.85498, -4.97961, 1.6088, 7.96737
1.96216, -5.05622, 1.37897, 7.96737
2.06909, -4.82639, 1.68541, 7.73755
2.17603, -4.9413, 1.41727, 7.96737
2.28198, -4.9413, 1.68541, 8.08229
2.38818, -4.903, 1.53219, 8.35042
2.49512, -4.97961, 1.49388, 8.35042
2.60107, -4.903, 1.6088, 8.04398
2.70801, -4.903, 1.57049, 7.3545
2.81519, -4.9413, 1.53219, 8.1589
2.92212, -4.82639, 1.49388, 8.1589
