Time,ax,ay,az
0.176025, -0.65118, -0.804398, 9.23143
0.282959, -0.842703, -1.99184, 10.8402
0.388916, -5.05622, -0.842703, 20.6462
0.5, -6.5501, -8.12059, 23.9404
0.605957, -0.114914, -0.0383047, -0.421352
0.712891, -0.0383047, -0.114914, 0.229828
0.820068, -0.114914, 0.0, -0.268133
0.926025, 0.114914, -0.0766094, -0.383047
1.03394, 0.0383047, -0.153219, -0.383047
1.13989, 0.153219, -0.153219, 0.0
1.24707, -1.18745, -1.99184, 9.53786
1.354, 6.89484, -5.66909, 9.99752
1.46094, 7.16298, -5.43926, 10.1124
1.56689, 6.58841, -3.14098, 7.92907
1.74805, 5.13283, -3.75386, 6.70332
1.85498, 5.28605, -3.60064, 7.08637
1.96191, 5.24774, -3.48573, 7.46941
2.06812, 5.36266, -3.63894, 7.69924
2.17407, 5.36266, -3.56234, 6.62671
2.28101, 5.13283, -3.56234, 7.23959
2.38696, 5.20944, -3.56234, 6.58841
2.4939, 5.40096, -3.52403, 7.23959
2.6001, 5.43926, -3.48573, 7.16298
2.70801, 5.47757, -3.60064, 7.20128
2.81396, 5.40096, -3.67725, 6.97145
2.9209, 5.28605, -3.79216, 7.27789
