Time,ax,ay,az
0.162109, -0.268133, -2.29828, -8.88668
0.269043, -0.804398, -2.94946, -9.23143
0.375, 2.41319, -1.6088, -9.30804
0.482178, 0.804398, -1.34066, -9.61448
0.588135, 0.536266, -0.57457, -9.19312
0.695068, 0.536266, 0.153219, -9.34634
0.801025, 0.881008, 0.229828, -10.3423
0.90918, 2.98777, 2.03015, -14.8239
1.01514, 1.14914, 0.957617, -15.8964
1.12109, -1.49388, 2.56641, -8.96329
1.22803, -0.766094, -5.7457, 3.2559
1.33398, 2.06845, -4.36673, 2.41319
1.44116, -1.6088, 3.06437, -4.82639
1.54712, 1.37897, -1.30236, -11.8361
1.70996, 3.10268, 2.64302, -10.4189
1.81714, 1.6088, 2.03015, -9.30804
1.9231, 1.80032, 1.26405, -8.96329
2.03003, 2.87285, 1.37897, -9.76769
2.13599, 2.60472, 0.881008, -8.84838
2.24316, 2.75794, 0.689484, -8.88668
2.34912, 3.60064, 1.37897, -9.99752
2.45605, 2.41319, 1.07253, -8.69516
2.56616, 2.94946, 1.14914, -9.61448
2.67212, 3.10268, 0.689484, -9.49956
2.77905, 2.56641, 0.306437, -8.1589
2.88599, 2.4898, 0.612875, -8.88668
2.99316, 2.60472, 1.45558, -10.189
