Time,ax,ay,az
0.166992, 6.62671, 5.36266, 4.0603
0.273926, 6.77993, 5.40096, 4.13691
0.380127, 6.85654, 5.36266, 3.79216
0.487061, 6.81823, 5.55418, 4.17521
0.593018, 6.77993, 5.36266, 4.36673
0.699951, 6.77993, 5.36266, 3.71555
0.807129, 6.81823, 5.51587, 3.83047
0.913086, 6.81823, 5.36266, 3.79216
1.02002, 6.81823, 5.36266, 4.17521
1.12598, 6.89484, 5.40096, 3.90708
1.23608, 6.85654, 5.59248, 3.83047
1.34204, 6.77993, 5.40096, 4.0986
1.44995, 6.74162, 5.43926, 3.90708
1.55615, 6.81823, 5.43926, 3.75386
1.66309, 6.81823, 5.40096, 3.94538
1.82813, 6.85654, 5.47757, 4.0603
1.93408, 6.74162, 5.55418, 3.60064
2.04004, 6.89484, 5.36266, 3.79216
2.14795, 6.66501, 5.51587, 3.83047
2.25415, 6.89484, 5.63079, 3.67725
2.36108, 6.89484, 5.59248, 3.60064
2.46704, 6.97145, 5.59248, 3.10268
2.57397, 7.04806, 5.59248, 3.2942
2.67993, 7.00976, 5.51587, 3.63894
2.78613, 7.23959, 5.59248, 3.2559
2.89307, 7.04806, 5.43926, 3.33251
3.0, 6.89484, 5.43926, 3.52403
