Time,ax,ay,az
0.162842, 6.35858, 5.24774, 5.32435
0.268799, 6.16705, 5.17113, 5.17113
0.375977, 6.16705, 5.20944, 5.17113
0.481934, 6.09044, 5.09452, 5.32435
0.588867, 6.05214, 5.13283, 4.97961
0.695801, 6.20536, 5.09452, 5.17113
0.802979, 6.05214, 5.13283, 5.09452
0.908936, 6.01384, 5.24774, 5.09452
1.01489, 6.24366, 5.20944, 5.09452
1.125, 6.01384, 5.05622, 5.28605
1.23096, 6.12875, 5.09452, 4.86469
1.33887, 6.16705, 5.13283, 5.01791
1.44482, 5.93723, 5.20944, 5.13283
1.55298, 5.93723, 5.13283, 5.17113
1.65894, 6.24366, 5.09452, 5.17113
1.82593, 6.12875, 5.28605, 5.09452
1.93188, 6.16705, 5.24774, 5.05622
2.03882, 6.09044, 5.36266, 5.17113
2.14478, 6.09044, 5.28605, 5.20944
2.25195, 6.20536, 5.17113, 5.05622
2.35889, 6.16705, 5.20944, 5.24774
2.46582, 6.05214, 5.17113, 5.32435
2.57178, 6.09044, 5.17113, 5.05622
2.67798, 5.97553, 5.01791, 4.97961
2.78491, 5.93723, 5.17113, 5.32435
2.89087, 6.05214, 5.13283, 5.17113
2.9978, 6.09044, 5.13283, 5.36266
