Time,ax,ay,az
0.165771, 5.93723, 5.13283, 5.47757
0.272949, 6.01384, 4.97961, 5.47757
0.378906, 5.7457, 4.82639, 5.28605
0.48584, 6.01384, 4.9413, 5.59248
0.591797, 5.89892, 5.01791, 5.7074
0.698975, 6.28197, 5.36266, 5.36266
0.804932, 6.12875, 5.09452, 5.13283
0.911865, 6.20536, 5.01791, 5.47757
1.0188, 6.24366, 5.05622, 5.40096
1.125, 5.93723, 5.05622, 5.28605
1.23193, 6.01384, 5.09452, 5.66909
1.33789, 6.09044, 5.09452, 5.13283
1.44482, 6.05214, 4.9413, 5.20944
1.55078, 5.89892, 5.09452, 5.59248
1.65796, 6.01384, 4.9413, 4.903
1.82495, 5.93723, 4.97961, 5.55418
1.93091, 6.01384, 5.05622, 5.55418
2.03882, 6.09044, 5.09452, 5.47757
2.14478, 6.12875, 5.05622, 5.47757
2.25195, 6.09044, 5.17113, 4.78809
2.35889, 6.09044, 5.09452, 5.13283
2.46582, 6.24366, 5.05622, 5.40096
2.573, 5.89892, 5.05622, 5.47757
2.67896, 6.16705, 5.20944, 5.55418
2.78589, 5.97553, 5.01791, 5.36266
2.89185, 6.01384, 5.05622, 5.32435
2.99878, 6.16705, 5.05622, 5.24774
