Time,ax,ay,az
0.161865, 5.89892, 4.86469, 5.28605
0.268066, 6.05214, 5.47757, 5.24774
0.375977, 6.01384, 5.32435, 5.43926
0.481934, 6.16705, 5.17113, 4.97961
0.589844, 6.01384, 5.24774, 5.09452
0.697021, 6.12875, 5.24774, 4.97961
0.802979, 6.05214, 5.13283, 5.20944
0.909912, 6.16705, 5.24774, 4.9413
1.01587, 6.24366, 5.24774, 4.78809
1.12305, 6.20536, 5.17113, 5.13283
1.229, 6.16705, 5.43926, 5.28605
1.33594, 6.12875, 5.24774, 5.05622
1.44189, 6.01384, 5.01791, 4.9413
1.55005, 6.24366, 5.20944, 5.01791
1.65601, 6.16705, 5.20944, 4.9413
1.81787, 5.97553, 5.17113, 5.05622
1.92505, 6.12875, 5.32435, 4.78809
2.03101, 6.12875, 5.01791, 5.09452
2.13696, 6.28197, 5.32435, 4.71148
2.2439, 6.09044, 5.09452, 4.9413
2.34985, 6.16705, 5.13283, 4.903
2.45703, 6.12875, 5.40096, 4.74978
2.56396, 6.16705, 4.86469, 5.36266
2.6709, 6.20536, 5.13283, 5.20944
2.77686, 6.05214, 5.05622, 4.78809
2.88306, 6.20536, 5.13283, 5.09452
2.98999, 6.32027, 5.01791, 5.09452
