Time,ax,ay,az
0.167969, 7.16298, -0.229828, 5.51587
0.275146, 4.13691, -1.41727, 3.71555
0.381104, 7.77585, 6.16705, 7.3928
0.488037, 7.92907, 2.03015, -2.33659
0.593994, 9.26973, -1.03423, -1.41727
0.701172, 7.92907, 0.114914, -3.63894
0.808105, 8.42703, 1.26405, -4.44334
0.914063, 8.92499, 1.14914, -3.83047
1.021, 9.8443, 4.82639, -10.5721
1.12695, 4.59656, -0.153219, -1.45558
1.23413, -0.306437, -3.2559, 4.78809
1.34009, -0.229828, -5.89892, 3.10268
1.44702, 8.12059, -3.2559, -6.97145
1.55298, 3.67725, -2.52811, -10.2657
1.76709, 3.79216, -3.98369, -6.5118
1.87305, 0.114914, -12.3341, -13.0236
1.97998, 0.191523, -0.689484, -5.05622
2.08716, 0.459656, -0.536266, -10.5338
2.19409, 0.344742, -0.459656, -10.0741
2.30005, 0.306437, -0.459656, -9.49956
2.40698, 0.344742, -0.536266, -9.88261
2.51318, 0.191523, -0.65118, -10.1507
2.61914, 0.306437, -0.57457, -9.76769
2.72607, 0.344742, -0.65118, -9.15482
2.83618, 0.306437, -0.57457, -9.806
2.94312, 0.191523, -0.612875, -9.57617
