Time,ax,ay,az
0.167999, -2.4898, -2.4898, 9.69109
0.275024, -2.60472, -2.10676, 9.0016
0.381012, -1.49388, -2.22167, 9.42295
0.488007, -1.76202, -2.18337, 8.73347
0.594025, -1.68541, -2.14506, 9.42295
0.701019, -1.6471, -2.03015, 9.42295
0.809998, -1.76202, -2.14506, 9.23143
0.917023, -1.6471, -2.14506, 9.42295
1.02402, -1.76202, -1.91523, 9.0016
1.13, -1.99184, -2.06845, 9.49956
1.23801, -1.41727, -2.10676, 8.73347
1.34402, -1.53219, -2.06845, 9.30804
1.45102, -1.72371, -2.10676, 9.23143
1.55701, -1.6088, -2.10676, 9.30804
1.728, -1.80032, -2.22167, 9.34634
1.83401, -1.83862, -2.18337, 9.38465
1.94101, -1.6471, -2.06845, 9.23143
2.047, -1.72371, -2.06845, 9.38465
2.15402, -1.72371, -2.06845, 9.15482
2.26001, -1.6088, -2.10676, 9.23143
2.367, -1.76202, -2.18337, 9.46126
2.47302, -1.83862, -2.25998, 9.42295
2.58002, -1.91523, -1.91523, 9.11651
2.686, -1.87693, -1.87693, 9.26973
2.79202, -1.6088, -2.14506, 9.53786
2.89902, -1.49388, -2.4515, 9.26973
