Time,ax,ay,az
0.167999, -0.957617, -3.2942, 9.42295
0.274017, -1.72371, -2.29828, 9.34634
0.381012, -1.53219, -2.75794, 9.26973
0.487, -1.37897, -2.52811, 9.26973
0.593994, -2.03015, -2.56641, 9.53786
0.700012, -1.03423, -3.21759, 9.07821
0.806, -1.45558, -2.33659, 9.65278
0.912994, -1.76202, -2.68133, 9.07821
1.01901, -1.41727, -2.4898, 9.57617
1.12601, -1.22575, -2.79624, 9.88261
1.23199, -1.37897, -2.79624, 9.0016
1.34, -1.30236, -2.64302, 9.76769
1.44601, -1.6471, -2.60472, 9.46126
1.55301, -1.45558, -2.68133, 9.11651
1.72299, -1.07253, -2.56641, 9.07821
1.83002, -1.72371, -2.79624, 9.57617
1.936, -1.07253, -2.79624, 8.58025
2.043, -1.49388, -2.64302, 9.806
2.15201, -1.37897, -2.75794, 9.11651
2.259, -1.53219, -2.68133, 9.19312
2.36499, -1.45558, -2.56641, 9.15482
2.47202, -1.41727, -2.71963, 9.11651
2.57901, -1.30236, -2.64302, 9.23143
2.685, -1.45558, -2.83455, 8.84838
2.793, -1.6088, -2.52811, 9.69109
2.89902, -1.22575, -2.68133, 9.30804
