Time,ax,ay,az
0.181, -0.766094, -4.82639, 8.92499
0.287994, -0.689484, -4.51995, 8.58025
0.394989, -0.842703, -4.55826, 8.61855
0.501007, -0.766094, -4.48165, 8.77177
0.608002, -0.995922, -4.48165, 8.69516
0.713989, -0.766094, -4.48165, 8.31211
0.821014, -0.766094, -4.63487, 8.27381
0.927002, -0.65118, -4.48165, 8.81008
1.035, -0.766094, -4.44334, 8.65686
1.14099, -0.919312, -4.36673, 8.54194
1.24701, -0.881008, -4.40504, 8.65686
1.354, -1.11084, -4.44334, 8.69516
1.45999, -1.03423, -4.51995, 8.73347
1.56699, -0.919312, -4.55826, 8.54194
1.73999, -0.804398, -4.48165, 8.46534
1.84601, -0.995922, -4.63487, 8.65686
1.952, -0.804398, -4.40504, 8.69516
2.05899, -0.842703, -4.51995, 8.23551
2.16501, -0.804398, -4.55826, 8.54194
2.272, -0.842703, -4.51995, 8.38873
2.37799, -0.842703, -4.48165, 8.81008
2.48499, -0.957617, -4.32843, 8.69516
2.591, -0.881008, -4.51995, 8.42703
2.698, -0.957617, -4.36673, 8.50364
2.80399, -0.881008, -4.55826, 8.58025
2.914, -0.766094, -3.67725, 8.73347
