Time,ax,ay,az
0.179016, -1.53219, -2.29828, 7.85246
0.286011, 5.59248, 0.0383047, 9.07821
0.393005, -0.0383047, -0.57457, 10.7253
0.5, 0.459656, -5.05622, 27.5794
0.606995, 5.05622, 1.11084, 19.612
0.713013, -0.459656, 0.229828, -0.804398
0.820007, -0.689484, 0.229828, -0.65118
0.927002, -0.459656, 0.229828, -0.344742
1.034, -0.459656, 0.383047, -0.536266
1.14001, -0.612875, 0.344742, -0.421352
1.24701, -0.57457, 0.383047, -0.114914
1.353, -7.04806, -5.43926, 23.9787
1.45999, 8.77177, -10.304, 10.1124
1.56702, 4.63487, -5.78401, 8.00568
1.74701, 5.01791, -3.75386, 5.43926
1.853, 3.17929, -4.9413, 9.23143
1.95999, 3.10268, -6.70332, 11.9128
2.06702, 1.45558, -3.52403, 9.26973
2.173, 2.56641, -3.86877, 6.43519
2.28, 4.59656, -2.41319, 7.89076
2.38602, -1.18745, -4.82639, 9.23143
2.49301, -0.689484, -2.71963, 9.92091
2.599, 0.65118, -2.75794, 9.38465
2.70599, 0.383047, -2.52811, 9.23143
2.81299, 0.536266, -2.60472, 9.88261
2.91901, 0.57457, -2.33659, 9.26973
