time,ax,ay,az
0.104004, 3.83047, 7.00976, 5.59248
0.273003, 3.71555, 6.81823, 5.43926
0.380997, 3.63894, 6.74162, 5.59248
0.487999, 3.83047, 6.85654, 5.36266
0.595001, 3.52403, 6.62671, 5.66909
0.703003, 3.56234, 6.97145, 5.51587
0.809998, 3.67725, 6.62671, 5.7074
0.917999, 3.60064, 6.89484, 5.17113
1.025, 3.63894, 6.77993, 5.36266
1.133, 3.67725, 6.66501, 5.7074
1.24, 3.60064, 6.89484, 5.66909
1.347, 3.71555, 6.77993, 5.40096
1.455, 3.60064, 6.74162, 5.32435
1.562, 3.90708, 6.74162, 5.78401
1.67, 3.52403, 6.58841, 5.89892
1.841, 3.71555, 6.74162, 5.55418
1.948, 3.83047, 6.74162, 5.7074
2.055, 3.75386, 6.74162, 5.63079
2.163, 3.52403, 6.62671, 6.01384
2.27, 3.83047, 6.66501, 5.55418
2.378, 3.79216, 6.62671, 5.32435
2.485, 3.67725, 6.70332, 5.66909
2.592, 3.83047, 6.62671, 5.47757
2.7, 3.56234, 6.77993, 5.7457
2.807, 3.98369, 6.66501, 5.63079
2.915, 3.75386, 6.66501, 6.05214
