time,ax,ay,az
0.167999, 0.0383047, -2.29828, 8.96329
0.274998, 0.65118, -1.18745, 9.76769
0.382, 0.57457, -1.99184, 9.11651
0.489998, -0.0383047, -2.10676, 9.19312
0.597, 0.0766094, -1.76202, 8.84838
0.704998, 0.229828, -2.37489, 8.73347
0.812, 0.459656, -1.72371, 9.19312
0.919998, 0.536266, -1.83862, 9.34634
1.027, 0.612875, -1.95354, 9.34634
1.133, 0.344742, -1.99184, 9.49956
1.241, -0.191523, -1.72371, 9.61448
1.348, -0.383047, 0.0383047, 9.806
1.456, -0.191523, 0.306437, 10.3423
1.563, 0.0766094, -0.57457, 8.38873
1.732, 0.727789, -0.459656, 8.46534
1.84, 0.804398, -1.11084, 9.53786
1.947, 0.612875, -1.41727, 9.69109
2.054, 1.34066, 0.153219, 10.9168
2.162, -0.459656, -1.76202, 8.88668
2.269, 0.459656, 0.114914, 9.92091
2.377, 0.153219, -1.03423, 9.07821
2.484, -0.0383047, -1.22575, 9.03991
2.591, -0.0766094, -0.497961, 8.88668
2.699, 0.306437, -0.919312, 8.96329
2.806, 0.191523, -0.191523, 10.5721
2.914, 0.344742, -0.995922, 8.58025
