time,ax,ay,az
0.106003, 3.86877, -4.82639, 7.50772
0.275002, 4.17521, -4.32843, 7.31619
0.382004, 4.44334, -4.40504, 7.73755
0.489006, 4.36673, -4.59656, 7.85246
0.597, 4.67317, -3.98369, 7.20128
0.703003, 4.21351, -3.75386, 7.46941
0.811005, 4.29012, -3.75386, 7.58433
0.917999, 4.0986, -3.90708, 7.3928
1.026, 4.48165, -4.17521, 7.58433
1.133, 4.86469, -4.29012, 7.66094
1.24001, 4.48165, -3.90708, 7.3928
1.348, 4.48165, -4.0603, 7.16298
1.455, 4.48165, -3.94538, 7.73755
1.563, 4.48165, -3.94538, 7.3928
1.67001, 4.32843, -3.86877, 7.58433
1.839, 4.44334, -3.75386, 7.50772
1.94701, 4.32843, -3.79216, 7.3928
2.054, 4.32843, -3.86877, 7.81416
2.161, 4.48165, -3.86877, 7.77585
2.269, 4.25182, -3.90708, 7.50772
2.376, 4.29012, -3.94538, 7.50772
2.484, 4.36673, -3.83047, 7.69924
2.591, 4.44334, -3.98369, 7.73755
2.69801, 4.44334, -4.02199, 7.43111
2.806, 4.44334, -3.86877, 7.81416
2.913, 4.44334, -3.83047, 7.54602
