time,ax,ay,az
0.183001, -0.153219, -1.91523, 9.57617
0.292, -0.0766094, -1.72371, 9.15482
0.399, -0.268133, -1.30236, 9.38465
0.506001, -0.153219, -1.30236, 9.42295
0.614, -0.0383047, -1.45558, 9.57617
0.720999, -0.191523, -1.26405, 9.03991
0.829, -0.153219, -1.22575, 9.38465
0.935999, -0.114914, -1.26405, 9.07821
1.044, -0.114914, -1.34066, 9.34634
1.151, -0.114914, -1.34066, 9.11651
1.258, -0.0766094, -1.26405, 9.11651
1.366, 0.0, -1.26405, 9.26973
1.473, -0.153219, -1.07253, 9.53786
1.581, -0.229828, -1.30236, 9.46126
1.749, -0.383047, -1.30236, 8.69516
1.856, -1.18745, -1.03423, 8.58025
1.964, -1.07253, -1.14914, 9.03991
2.071, -0.612875, -1.11084, 9.30804
2.178, -0.497961, -1.11084, 9.42295
2.286, -0.766094, -0.957617, 9.30804
2.393, -0.536266, -1.26405, 9.53786
2.501, -0.268133, -0.689484, 9.61448
2.608, -0.383047, -0.497961, 9.65278
2.715, -0.153219, -0.57457, 9.30804
2.823, -0.268133, -0.536266, 9.92091
2.93, -0.421352, -0.114914, 9.57617
